Sample_Frame,Repeat_Sample,Loc_Number,Loc_Name,BareGrdCover,Bromus.tectorum,Elymus.caput.medusae,Poa.secunda,Pseudoroegneria.spicata
JODA_Clarno,yes,1,JODA_Clarno_001,1,2,0,2,3
JODA_Clarno,yes,1,JODA_Clarno_001,1,2,0,2,3
JODA_Clarno,yes,2,JODA_Clarno_002,0,2,0,1,3
JODA_Clarno,yes,2,JODA_Clarno_002,1,2,0,1,2
JODA_Clarno,yes,3,JODA_Clarno_003,2,1,1,0,0
JODA_Clarno,yes,3,JODA_Clarno_003,1,1,1,0,0
JODA_Clarno,yes,4,JODA_Clarno_004,1,4,0,2,2
JODA_Clarno,yes,4,JODA_Clarno_004,2,3,1,2,2
JODA_Clarno,yes,5,JODA_Clarno_005,1,3,0,0,1
JODA_Clarno,yes,5,JODA_Clarno_005,1,4,0,0,0
JODA_Clarno,yes,6,JODA_Clarno_006,0,4,0,0,0
JODA_Clarno,yes,6,JODA_Clarno_006,0,4,1,0,0
JODA_Clarno,yes,7,JODA_Clarno_007,1,3,0,0,2
JODA_Clarno,yes,7,JODA_Clarno_007,1,3,0,0,1
JODA_Clarno,yes,8,JODA_Clarno_008,1,3,0,1,3
JODA_Clarno,yes,8,JODA_Clarno_008,1,4,0,1,3
JODA_Clarno,yes,9,JODA_Clarno_009,0,5,1,0,0
JODA_Clarno,yes,9,JODA_Clarno_009,0,5,1,0,0
JODA_Clarno,yes,10,JODA_Clarno_010,2,2,1,2,3
JODA_Clarno,yes,10,JODA_Clarno_010,2,3,1,2,2
JODA_Clarno,yes,11,JODA_Clarno_011,1,2,0,1,2
JODA_Clarno,yes,11,JODA_Clarno_011,1,2,0,1,2
JODA_Clarno,yes,12,JODA_Clarno_012,1,3,0,1,0
JODA_Clarno,yes,12,JODA_Clarno_012,1,3,0,0,0
JODA_Clarno,yes,13,JODA_Clarno_013,2,2,0,2,2
JODA_Clarno,yes,13,JODA_Clarno_013,2,2,1,2,2
JODA_Clarno,yes,14,JODA_Clarno_014,1,2,5,0,0
JODA_Clarno,yes,14,JODA_Clarno_014,1,2,5,0,0
JODA_Clarno,yes,15,JODA_Clarno_015,1,4,0,1,0
JODA_Clarno,yes,15,JODA_Clarno_015,1,4,0,3,0
JODA_Clarno,yes,16,JODA_Clarno_016,5,2,2,0,0
JODA_Clarno,yes,16,JODA_Clarno_016,3,2,1,0,0
JODA_Clarno,yes,17,JODA_Clarno_017,3,0,0,2,3
JODA_Clarno,yes,17,JODA_Clarno_017,2,1,0,3,3
JODA_Clarno,yes,18,JODA_Clarno_018,2,2,1,0,2
JODA_Clarno,yes,18,JODA_Clarno_018,1,3,0,0,2
JODA_Clarno,yes,19,JODA_Clarno_019,1,2,1,2,3
JODA_Clarno,yes,19,JODA_Clarno_019,1,2,0,2,3
JODA_Clarno,yes,20,JODA_Clarno_020,2,2,1,1,0
JODA_Clarno,yes,20,JODA_Clarno_020,2,2,1,1,0
JODA_Clarno,yes,21,JODA_Clarno_021,1,0,6,0,0
JODA_Clarno,yes,21,JODA_Clarno_021,0,1,6,0,0
JODA_Clarno,yes,22,JODA_Clarno_022,1,5,1,1,1
JODA_Clarno,yes,22,JODA_Clarno_022,1,4,1,0,2
JODA_Clarno,yes,23,JODA_Clarno_023,1,1,0,0,0
JODA_Clarno,yes,23,JODA_Clarno_023,1,1,0,0,0
JODA_Clarno,yes,24,JODA_Clarno_024,2,2,1,1,3
JODA_Clarno,yes,24,JODA_Clarno_024,1,2,1,1,3
JODA_Clarno,yes,25,JODA_Clarno_025,1,1,0,1,2
JODA_Clarno,yes,25,JODA_Clarno_025,2,1,0,1,2
JODA_Clarno,yes,26,JODA_Clarno_026,1,3,2,1,1
JODA_Clarno,yes,26,JODA_Clarno_026,1,3,2,1,0
JODA_Clarno,yes,27,JODA_Clarno_027,1,5,1,0,0
JODA_Clarno,yes,27,JODA_Clarno_027,0,5,1,0,0
JODA_Clarno,yes,28,JODA_Clarno_028,1,2,0,0,0
JODA_Clarno,yes,28,JODA_Clarno_028,1,3,0,0,0
JODA_Clarno,yes,29,JODA_Clarno_029,1,3,1,1,2
JODA_Clarno,yes,29,JODA_Clarno_029,1,2,1,1,2
JODA_Clarno,yes,30,JODA_Clarno_030,1,2,0,0,0
JODA_Clarno,yes,30,JODA_Clarno_030,0,2,0,0,0
JODA_Clarno,yes,31,JODA_Clarno_031,1,5,0,0,0
JODA_Clarno,yes,31,JODA_Clarno_031,0,5,0,0,0
JODA_Clarno,yes,32,JODA_Clarno_032,3,1,0,1,2
JODA_Clarno,yes,32,JODA_Clarno_032,2,2,0,1,1
JODA_Clarno,yes,33,JODA_Clarno_033,2,1,0,1,0
JODA_Clarno,yes,33,JODA_Clarno_033,2,3,0,1,0
JODA_Clarno,yes,34,JODA_Clarno_034,1,2,1,1,3
JODA_Clarno,yes,34,JODA_Clarno_034,1,2,1,0,3
JODA_Clarno,yes,35,JODA_Clarno_035,1,1,0,0,3
JODA_Clarno,yes,35,JODA_Clarno_035,2,1,0,0,2
JODA_Clarno,yes,36,JODA_Clarno_036,1,3,3,0,1
JODA_Clarno,yes,36,JODA_Clarno_036,1,3,4,0,1
JODA_Clarno,yes,37,JODA_Clarno_037,0,5,1,2,2
JODA_Clarno,yes,37,JODA_Clarno_037,1,4,1,2,2
JODA_Clarno,yes,38,JODA_Clarno_038,0,5,0,2,1
JODA_Clarno,yes,38,JODA_Clarno_038,1,5,0,2,1
JODA_Clarno,yes,39,JODA_Clarno_039,0,4,0,0,1
JODA_Clarno,yes,39,JODA_Clarno_039,0,5,0,0,1
JODA_Clarno,yes,40,JODA_Clarno_040,1,4,0,0,0
JODA_Clarno,yes,40,JODA_Clarno_040,1,3,0,0,0
JODA_Clarno,yes,41,JODA_Clarno_041,1,4,2,1,2
JODA_Clarno,yes,41,JODA_Clarno_041,0,5,2,1,2
JODA_Clarno,yes,42,JODA_Clarno_042,1,4,0,1,2
JODA_Clarno,yes,42,JODA_Clarno_042,1,4,0,1,1
JODA_Clarno,yes,43,JODA_Clarno_043,0,3,0,1,2
JODA_Clarno,yes,43,JODA_Clarno_043,1,4,0,1,2
JODA_Clarno,yes,44,JODA_Clarno_044,1,5,0,1,0
JODA_Clarno,yes,44,JODA_Clarno_044,1,5,0,1,0
JODA_Clarno,yes,45,JODA_Clarno_045,2,1,4,0,0
JODA_Clarno,yes,45,JODA_Clarno_045,1,1,4,0,0
JODA_Clarno,yes,46,JODA_Clarno_046,2,3,1,2,0
JODA_Clarno,yes,46,JODA_Clarno_046,1,3,1,2,0
JODA_Clarno,yes,47,JODA_Clarno_047,2,3,1,0,0
JODA_Clarno,yes,47,JODA_Clarno_047,1,3,1,0,0
JODA_Clarno,yes,48,JODA_Clarno_048,1,2,5,0,0
JODA_Clarno,yes,48,JODA_Clarno_048,0,1,6,0,0
JODA_Clarno,yes,49,JODA_Clarno_049,2,2,1,2,2
JODA_Clarno,yes,49,JODA_Clarno_049,1,3,1,1,2
JODA_Clarno,yes,50,JODA_Clarno_050,0,4,2,0,0
JODA_Clarno,yes,50,JODA_Clarno_050,0,4,2,0,0
JODA_Clarno,yes,51,JODA_Clarno_051,1,3,0,0,2
JODA_Clarno,yes,51,JODA_Clarno_051,1,3,0,0,2
JODA_Clarno,yes,52,JODA_Clarno_052,1,4,0,0,0
JODA_Clarno,yes,52,JODA_Clarno_052,1,5,0,0,0
JODA_Clarno,yes,53,JODA_Clarno_053,1,1,3,0,0
JODA_Clarno,yes,53,JODA_Clarno_053,2,1,3,0,0
JODA_Clarno,yes,54,JODA_Clarno_054,1,5,0,0,1
JODA_Clarno,yes,54,JODA_Clarno_054,1,4,0,0,1
JODA_Clarno,yes,55,JODA_Clarno_055,0,3,0,0,0
JODA_Clarno,yes,55,JODA_Clarno_055,1,4,0,0,0
JODA_Clarno,yes,56,JODA_Clarno_056,2,2,0,1,0
JODA_Clarno,yes,56,JODA_Clarno_056,2,1,0,1,0
JODA_Clarno,yes,57,JODA_Clarno_057,1,3,0,0,1
JODA_Clarno,yes,57,JODA_Clarno_057,0,4,0,0,1
JODA_Clarno,yes,58,JODA_Clarno_058,1,3,0,0,2
JODA_Clarno,yes,58,JODA_Clarno_058,1,3,0,0,2
JODA_Clarno,yes,59,JODA_Clarno_059,1,2,3,1,0
JODA_Clarno,yes,59,JODA_Clarno_059,0,4,5,0,0
JODA_Clarno,yes,60,JODA_Clarno_060,3,3,0,1,1
JODA_Clarno,yes,60,JODA_Clarno_060,2,3,0,1,1
JODA_Clarno,no,61,JODA_Clarno_061,1,1,0,1,3
JODA_Clarno,no,62,JODA_Clarno_062,1,3,1,0,0
JODA_Clarno,no,63,JODA_Clarno_063,1,3,0,1,3
JODA_Clarno,no,64,JODA_Clarno_064,3,2,0,0,0
JODA_Clarno,no,65,JODA_Clarno_065,3,3,2,2,3
JODA_Clarno,no,66,JODA_Clarno_066,1,2,0,2,3
JODA_Clarno,no,67,JODA_Clarno_067,1,2,1,1,0
JODA_Clarno,no,68,JODA_Clarno_068,1,4,3,0,0
JODA_Clarno,no,69,JODA_Clarno_069,1,2,0,1,0
JODA_Clarno,no,70,JODA_Clarno_070,2,1,4,1,0
JODA_Clarno,no,71,JODA_Clarno_071,0,6,0,0,0
JODA_Clarno,no,72,JODA_Clarno_072,3,0,0,2,3
JODA_Clarno,no,73,JODA_Clarno_073,0,4,0,0,0
JODA_Clarno,no,74,JODA_Clarno_074,1,4,0,0,0
JODA_Clarno,no,75,JODA_Clarno_075,1,5,0,2,0
JODA_Clarno,no,76,JODA_Clarno_076,1,1,1,0,2
JODA_Clarno,no,77,JODA_Clarno_077,2,4,0,0,0
JODA_Clarno,no,78,JODA_Clarno_078,1,3,0,0,1
JODA_Clarno,no,79,JODA_Clarno_079,1,3,0,2,1
JODA_Clarno,no,80,JODA_Clarno_080,3,1,0,2,4
JODA_Clarno,no,81,JODA_Clarno_081,1,1,2,0,0
JODA_Clarno,no,82,JODA_Clarno_082,1,3,0,0,0
JODA_Clarno,no,83,JODA_Clarno_083,1,3,0,0,0
JODA_Clarno,no,84,JODA_Clarno_084,1,2,0,2,2
JODA_Clarno,no,85,JODA_Clarno_085,1,1,5,0,0
JODA_Clarno,no,86,JODA_Clarno_086,2,2,1,1,0
JODA_Clarno,no,87,JODA_Clarno_087,1,2,1,0,2
JODA_Clarno,no,88,JODA_Clarno_088,1,3,0,0,3
JODA_Clarno,no,89,JODA_Clarno_089,1,5,3,0,0
JODA_Clarno,no,90,JODA_Clarno_090,1,2,0,1,3
JODA_Clarno,no,91,JODA_Clarno_091,1,5,0,0,0
JODA_Clarno,no,92,JODA_Clarno_092,1,2,5,0,0
JODA_Clarno,no,93,JODA_Clarno_093,0,2,5,0,0
JODA_Clarno,no,94,JODA_Clarno_094,1,5,1,0,2
JODA_Clarno,no,95,JODA_Clarno_095,1,2,0,2,3
JODA_Clarno,no,96,JODA_Clarno_096,0,4,0,0,0
JODA_Clarno,no,97,JODA_Clarno_097,2,1,2,0,0
JODA_Clarno,no,98,JODA_Clarno_098,3,2,0,2,3
JODA_Clarno,no,99,JODA_Clarno_99,2,1,1,1,2
JODA_Clarno,no,100,JODA_Clarno_100,1,2,2,0,2
JODA_Clarno,no,101,JODA_Clarno_101,1,3,0,0,0
JODA_Clarno,no,102,JODA_Clarno_102,2,2,0,0,0
JODA_Clarno,no,103,JODA_Clarno_103,0,2,5,2,0
JODA_Clarno,no,104,JODA_Clarno_104,3,1,1,1,2
JODA_Clarno,no,105,JODA_Clarno_105,1,1,3,0,0
JODA_Clarno,no,106,JODA_Clarno_106,1,3,0,0,0
JODA_Clarno,no,107,JODA_Clarno_107,0,1,6,0,0
JODA_Clarno,no,108,JODA_Clarno_108,0,5,0,0,0
JODA_Clarno,no,109,JODA_Clarno_109,1,1,0,0,0
JODA_Clarno,no,110,JODA_Clarno_110,1,2,4,0,0
JODA_Clarno,no,111,JODA_Clarno_111,1,5,0,2,0
JODA_Clarno,no,112,JODA_Clarno_112,0,1,5,0,0
JODA_Clarno,no,113,JODA_Clarno_113,1,2,4,0,0
JODA_Clarno,no,114,JODA_Clarno_114,1,2,1,1,0
JODA_Clarno,no,115,JODA_Clarno_115,2,1,0,0,3
JODA_Clarno,no,116,JODA_Clarno_116,3,1,0,1,3
JODA_Clarno,no,117,JODA_Clarno_117,2,3,1,0,0
JODA_Clarno,no,118,JODA_Clarno_118,1,1,5,0,0
JODA_Clarno,no,119,JODA_Clarno_119,1,4,0,1,2
JODA_Clarno,no,120,JODA_Clarno_120,2,0,0,0,0
JODA_Clarno,no,121,JODA_Clarno_121,1,5,1,0,0
JODA_Clarno,no,122,JODA_Clarno_122,0,2,5,0,1
JODA_Clarno,no,123,JODA_Clarno_123,1,3,1,0,3
JODA_Clarno,no,124,JODA_Clarno_124,2,2,0,0,0
JODA_Clarno,no,125,JODA_Clarno_125,2,2,0,1,0
JODA_Clarno,no,126,JODA_Clarno_126,1,2,5,0,0
JODA_Clarno,no,127,JODA_Clarno_127,2,3,0,1,0
JODA_Clarno,no,128,JODA_Clarno_128,2,1,1,2,3
JODA_Clarno,no,129,JODA_Clarno_129,1,2,0,0,1
JODA_Clarno,no,130,JODA_Clarno_130,1,2,0,1,2
JODA_Clarno,no,131,JODA_Clarno_131,3,1,0,1,0
JODA_Clarno,no,132,JODA_Clarno_132,1,1,0,1,3
JODA_Clarno,no,133,JODA_Clarno_133,1,5,1,0,0
JODA_Clarno,no,134,JODA_Clarno_134,0,2,4,0,0
JODA_Clarno,no,135,JODA_Clarno_135,1,5,0,1,0
JODA_Clarno,no,136,JODA_Clarno_136,2,1,0,1,3
JODA_Clarno,no,137,JODA_Clarno_137,1,4,1,0,2
JODA_Clarno,no,138,JODA_Clarno_138,1,3,1,1,0
JODA_Clarno,no,139,JODA_Clarno_139,5,2,0,1,0
JODA_Clarno,no,140,JODA_Clarno_140,3,0,1,1,3
JODA_Clarno,no,141,JODA_Clarno_141,2,3,1,0,2
JODA_Clarno,no,142,JODA_Clarno_142,1,4,1,0,1
JODA_Clarno,no,143,JODA_Clarno_143,1,2,2,0,4
JODA_Clarno,no,144,JODA_Clarno_144,1,3,1,1,0
JODA_Clarno,no,145,JODA_Clarno_145,3,1,1,0,0
JODA_Clarno,no,146,JODA_Clarno_146,1,2,5,0,0
JODA_Clarno,no,147,JODA_Clarno_147,2,1,0,1,2
JODA_Clarno,no,148,JODA_Clarno_148,1,1,2,0,0
JODA_Clarno,no,149,JODA_Clarno_149,1,5,0,0,0
JODA_Clarno,no,150,JODA_Clarno_150,1,3,0,0,2
JODA_Clarno,no,151,JODA_Clarno_151,0,1,5,0,1
JODA_Clarno,no,152,JODA_Clarno_152,3,1,0,1,3
JODA_Clarno,no,153,JODA_Clarno_153,1,3,2,0,3
JODA_Clarno,no,154,JODA_Clarno_154,1,5,0,1,1
JODA_Clarno,no,155,JODA_Clarno_155,1,4,0,0,2
JODA_Clarno,no,156,JODA_Clarno_156,0,1,4,1,0
JODA_Clarno,no,157,JODA_Clarno_157,0,3,4,0,0
JODA_Clarno,no,158,JODA_Clarno_158,1,0,0,1,3
JODA_Clarno,no,159,JODA_Clarno_159,2,5,0,0,0
JODA_Clarno,no,160,JODA_Clarno_160,2,1,0,1,3
JODA_Clarno,no,161,JODA_Clarno_161,2,0,0,0,0
JODA_Clarno,no,162,JODA_Clarno_162,2,2,0,1,2
JODA_Clarno,no,163,JODA_Clarno_163,2,3,1,0,0
JODA_Clarno,no,164,JODA_Clarno_164,1,1,0,0,0
JODA_Clarno,no,165,JODA_Clarno_165,1,3,1,1,2
JODA_Clarno,no,166,JODA_Clarno_166,1,2,0,1,3
JODA_Clarno,no,167,JODA_Clarno_167,2,2,1,0,0
JODA_Clarno,no,168,JODA_Clarno_168,2,5,1,1,2
JODA_Clarno,no,169,JODA_Clarno_169,1,2,0,1,0
JODA_Clarno,no,170,JODA_Clarno_170,0,2,5,0,2
JODA_Clarno,no,171,JODA_Clarno_171,2,1,0,0,2
JODA_Clarno,no,172,JODA_Clarno_172,1,4,0,1,0
JODA_Clarno,no,173,JODA_Clarno_173,1,2,0,0,1
JODA_Clarno,no,174,JODA_Clarno_174,0,0,5,0,0
JODA_Clarno,no,175,JODA_Clarno_175,2,2,3,2,2
JODA_Clarno,no,176,JODA_Clarno_176,2,2,0,1,0
JODA_Clarno,no,177,JODA_Clarno_177,1,3,0,0,0
JODA_Clarno,no,178,JODA_Clarno_178,1,5,0,0,0
JODA_Clarno,no,179,JODA_Clarno_179,1,5,2,0,0
JODA_Clarno,no,180,JODA_Clarno_180,1,2,0,2,0
JODA_Clarno,no,181,JODA_Clarno_181,1,2,3,1,2
JODA_Clarno,no,182,JODA_Clarno_182,2,1,3,1,2
JODA_Clarno,no,183,JODA_Clarno_183,1,4,3,1,0
JODA_Clarno,no,184,JODA_Clarno_184,1,3,1,1,0
JODA_Clarno,no,185,JODA_Clarno_185,2,2,1,1,1
JODA_Clarno,no,186,JODA_Clarno_186,2,1,0,1,2
JODA_Clarno,no,187,JODA_Clarno_187,1,1,3,0,0
JODA_Clarno,no,188,JODA_Clarno_188,1,0,0,0,1
JODA_Clarno,no,189,JODA_Clarno_189,0,1,5,0,0
JODA_Clarno,no,190,JODA_Clarno_190,2,1,1,1,3
JODA_Clarno,no,191,JODA_Clarno_191,1,3,0,1,3
JODA_Clarno,no,192,JODA_Clarno_192,2,3,2,1,3
JODA_Clarno,no,193,JODA_Clarno_193,0,5,0,1,0
JODA_Clarno,no,194,JODA_Clarno_194,1,1,0,1,4
JODA_Clarno,no,195,JODA_Clarno_195,0,1,0,0,1
JODA_Clarno,no,196,JODA_Clarno_196,0,5,1,0,1
JODA_Clarno,no,197,JODA_Clarno_197,1,5,0,0,0
JODA_Clarno,no,198,JODA_Clarno_198,1,4,0,0,0
JODA_Clarno,no,199,JODA_Clarno_199,1,1,6,0,0
JODA_Clarno,no,200,JODA_Clarno_200,1,5,0,0,0
JODA_Clarno,no,201,JODA_Clarno_201,0,2,5,0,0
JODA_Clarno,no,202,JODA_Clarno_202,2,1,0,2,3
JODA_Clarno,no,203,JODA_Clarno_203,1,4,1,0,0
JODA_Clarno,no,204,JODA_Clarno_204,2,3,0,0,0
JODA_Clarno,no,205,JODA_Clarno_205,1,1,0,2,2
JODA_Clarno,no,206,JODA_Clarno_206,1,3,0,1,1
JODA_Clarno,no,207,JODA_Clarno_207,2,2,0,0,2
JODA_Clarno,no,208,JODA_Clarno_208,1,1,0,2,2
JODA_Clarno,no,209,JODA_Clarno_209,0,1,0,1,3
JODA_Clarno,no,210,JODA_Clarno_210,0,1,5,1,0
JODA_Clarno,no,211,JODA_Clarno_211,1,1,0,2,0
JODA_Clarno,no,212,JODA_Clarno_212,2,2,3,1,0
JODA_Clarno,no,213,JODA_Clarno_213,1,4,0,0,0
JODA_Clarno,no,214,JODA_Clarno_214,0,4,0,0,3
JODA_Clarno,no,215,JODA_Clarno_215,1,1,0,0,2
JODA_Clarno,no,216,JODA_Clarno_216,1,5,0,0,0
JODA_Clarno,no,217,JODA_Clarno_217,4,1,0,2,3
JODA_Clarno,no,218,JODA_Clarno_218,0,4,0,0,3
JODA_Clarno,no,219,JODA_Clarno_219,1,3,0,1,2
JODA_Clarno,no,220,JODA_Clarno_220,1,3,0,1,2
