Sample_Frame,Loc_Number,Repeat_Sample,Artemisia.tridentata,uni.id,allot
BICA_LTM_Veg060,1,Yes,0,365,1
BICA_LTM_Veg060,1,Yes,0,365,1
BICA_LTM_Veg060,1,Yes,0,365,1
BICA_LTM_Veg060,2,Yes,0,366,1
BICA_LTM_Veg060,2,Yes,0,366,1
BICA_LTM_Veg060,2,Yes,0,366,1
BICA_LTM_Veg060,3,Yes,0,367,1
BICA_LTM_Veg060,3,Yes,0,367,1
BICA_LTM_Veg060,4,Yes,0,368,1
BICA_LTM_Veg060,4,Yes,0,368,1
BICA_LTM_Veg060,5,Yes,0,369,1
BICA_LTM_Veg060,5,Yes,0,369,1
BICA_LTM_Veg060,5,Yes,0,369,1
BICA_LTM_Veg060,6,Yes,0,370,1
BICA_LTM_Veg060,6,Yes,0,370,1
BICA_LTM_Veg060,6,Yes,0,370,1
BICA_LTM_Veg060,7,Yes,0,371,1
BICA_LTM_Veg060,7,Yes,0,371,1
BICA_LTM_Veg060,8,Yes,0,372,1
BICA_LTM_Veg060,8,Yes,0,372,1
BICA_LTM_Veg060,9,Yes,0,373,1
BICA_LTM_Veg060,9,Yes,0,373,1
BICA_LTM_Veg060,9,Yes,0,373,1
BICA_LTM_Veg060,10,Yes,0,374,1
BICA_LTM_Veg060,10,Yes,0,374,1
BICA_LTM_Veg060,11,Yes,0,375,1
BICA_LTM_Veg060,11,Yes,0,375,1
BICA_LTM_Veg060,12,Yes,0,376,1
BICA_LTM_Veg060,12,Yes,0,376,1
BICA_LTM_Veg060,12,Yes,0,376,1
BICA_LTM_Veg060,13,Yes,0,377,1
BICA_LTM_Veg060,13,Yes,0,377,1
BICA_LTM_Veg060,13,Yes,0,377,1
BICA_LTM_Veg060,14,Yes,0,378,1
BICA_LTM_Veg060,14,Yes,0,378,1
BICA_LTM_Veg060,15,Yes,0,379,1
BICA_LTM_Veg060,15,Yes,0,379,1
BICA_LTM_Veg060,16,Yes,0,380,1
BICA_LTM_Veg060,16,Yes,2,380,1
BICA_LTM_Veg060,16,Yes,2,380,1
BICA_LTM_Veg060,17,Yes,0,381,1
BICA_LTM_Veg060,17,Yes,0,381,1
BICA_LTM_Veg060,17,Yes,0,381,1
BICA_LTM_Veg060,18,Yes,0,382,1
BICA_LTM_Veg060,18,Yes,0,382,1
BICA_LTM_Veg060,18,Yes,0,382,1
BICA_LTM_Veg060,19,Yes,0,383,1
BICA_LTM_Veg060,19,Yes,0,383,1
BICA_LTM_Veg060,20,Yes,0,384,1
BICA_LTM_Veg060,20,Yes,0,384,1
BICA_LTM_Veg060,21,Yes,0,385,1
BICA_LTM_Veg060,21,Yes,0,385,1
BICA_LTM_Veg060,21,Yes,0,385,1
BICA_LTM_Veg060,22,Yes,0,386,1
BICA_LTM_Veg060,22,Yes,0,386,1
BICA_LTM_Veg060,22,Yes,0,386,1
BICA_LTM_Veg060,23,Yes,1,387,1
BICA_LTM_Veg060,23,Yes,1,387,1
BICA_LTM_Veg060,24,Yes,0,388,1
BICA_LTM_Veg060,24,Yes,0,388,1
BICA_LTM_Veg060,25,Yes,0,389,1
BICA_LTM_Veg060,25,Yes,0,389,1
BICA_LTM_Veg060,25,Yes,0,389,1
BICA_LTM_Veg060,26,No,0,390,1
BICA_LTM_Veg060,27,No,0,391,1
BICA_LTM_Veg060,28,No,0,392,1
BICA_LTM_Veg060,29,No,0,393,1
BICA_LTM_Veg060,30,No,0,394,1
BICA_LTM_Veg060,31,No,0,395,1
BICA_LTM_Veg060,32,No,0,396,1
BICA_LTM_Veg060,33,No,0,397,1
BICA_LTM_Veg060,34,No,1,398,1
BICA_LTM_Veg060,35,No,0,399,1
BICA_LTM_Veg060,36,No,0,400,1
BICA_LTM_Veg060,37,No,0,401,1
BICA_LTM_Veg060,38,No,0,402,1
BICA_LTM_Veg060,40,No,0,403,1
BICA_LTM_Veg060,41,No,3,404,1
BICA_LTM_Veg060,42,No,0,405,1
BICA_LTM_Veg060,43,No,0,406,1
BICA_LTM_Veg060,44,No,0,407,1
BICA_LTM_Veg060,45,No,0,408,1
BICA_LTM_Veg060,46,No,0,409,1
BICA_LTM_Veg060,47,No,0,410,1
BICA_LTM_Veg060,48,No,0,411,1
BICA_LTM_Veg060,49,No,0,412,1
BICA_LTM_Veg060,50,No,0,413,1
BICA_LTM_Veg060,51,No,0,414,1
BICA_LTM_Veg060,52,No,0,415,1
BICA_LTM_Veg060,53,No,4,416,1
BICA_LTM_Veg080,1,No,3,470,2
BICA_LTM_Veg080,2,Yes,2,471,2
BICA_LTM_Veg080,2,Yes,3,471,2
BICA_LTM_Veg080,3,Yes,3,472,2
BICA_LTM_Veg080,3,Yes,3,472,2
BICA_LTM_Veg080,4,Yes,3,473,2
BICA_LTM_Veg080,4,Yes,3,473,2
BICA_LTM_Veg080,5,Yes,0,474,2
BICA_LTM_Veg080,5,Yes,1,474,2
BICA_LTM_Veg080,6,Yes,0,475,2
BICA_LTM_Veg080,6,Yes,0,475,2
BICA_LTM_Veg080,7,Yes,2,476,2
BICA_LTM_Veg080,7,Yes,3,476,2
BICA_LTM_Veg080,8,Yes,1,477,2
BICA_LTM_Veg080,8,Yes,1,477,2
BICA_LTM_Veg080,9,No,4,478,2
BICA_LTM_Veg080,10,Yes,0,479,2
BICA_LTM_Veg080,10,Yes,0,479,2
BICA_LTM_Veg080,11,Yes,0,480,2
BICA_LTM_Veg080,11,Yes,0,480,2
BICA_LTM_Veg080,12,Yes,2,481,2
BICA_LTM_Veg080,12,Yes,2,481,2
BICA_LTM_Veg080,13,Yes,1,482,2
BICA_LTM_Veg080,13,Yes,1,482,2
BICA_LTM_Veg080,14,Yes,2,483,2
BICA_LTM_Veg080,14,Yes,4,483,2
BICA_LTM_Veg080,15,Yes,0,484,2
BICA_LTM_Veg080,15,Yes,0,484,2
BICA_LTM_Veg080,16,Yes,0,485,2
BICA_LTM_Veg080,16,Yes,0,485,2
BICA_LTM_Veg080,17,Yes,1,486,2
BICA_LTM_Veg080,17,Yes,1,486,2
BICA_LTM_Veg080,18,Yes,0,487,2
BICA_LTM_Veg080,18,Yes,0,487,2
BICA_LTM_Veg080,19,Yes,0,488,2
BICA_LTM_Veg080,19,Yes,0,488,2
BICA_LTM_Veg080,20,Yes,1,489,2
BICA_LTM_Veg080,20,Yes,0,489,2
BICA_LTM_Veg080,21,Yes,2,490,2
BICA_LTM_Veg080,21,Yes,2,490,2
BICA_LTM_Veg080,22,Yes,0,491,2
BICA_LTM_Veg080,22,Yes,0,491,2
BICA_LTM_Veg080,23,Yes,0,492,2
BICA_LTM_Veg080,23,Yes,1,492,2
BICA_LTM_Veg080,24,Yes,0,493,2
BICA_LTM_Veg080,24,Yes,0,493,2
BICA_LTM_Veg080,25,Yes,0,494,2
BICA_LTM_Veg080,25,Yes,0,494,2
BICA_LTM_Veg080,26,Yes,0,495,2
BICA_LTM_Veg080,26,Yes,0,495,2
BICA_LTM_Veg080,27,Yes,0,496,2
BICA_LTM_Veg080,27,Yes,0,496,2
BICA_LTM_Veg080,28,Yes,2,497,2
BICA_LTM_Veg080,28,Yes,2,497,2
BICA_LTM_Veg080,29,Yes,0,498,2
BICA_LTM_Veg080,29,Yes,1,498,2
BICA_LTM_Veg080,30,Yes,3,499,2
BICA_LTM_Veg080,30,Yes,3,499,2
BICA_LTM_Veg080,31,Yes,0,500,2
BICA_LTM_Veg080,31,Yes,0,500,2
BICA_LTM_Veg080,32,Yes,0,501,2
BICA_LTM_Veg080,32,Yes,1,501,2
BICA_LTM_Veg080,33,Yes,0,502,2
BICA_LTM_Veg080,33,Yes,0,502,2
BICA_LTM_Veg080,34,Yes,0,503,2
BICA_LTM_Veg080,34,Yes,0,503,2
BICA_LTM_Veg080,35,Yes,0,504,2
BICA_LTM_Veg080,35,Yes,0,504,2
BICA_LTM_Veg080,36,Yes,0,505,2
BICA_LTM_Veg080,36,Yes,0,505,2
BICA_LTM_Veg080,37,Yes,1,506,2
BICA_LTM_Veg080,37,Yes,1,506,2
BICA_LTM_Veg080,38,Yes,3,507,2
BICA_LTM_Veg080,38,Yes,4,507,2
BICA_LTM_Veg080,39,Yes,0,508,2
BICA_LTM_Veg080,39,Yes,0,508,2
BICA_LTM_Veg080,40,Yes,0,509,2
BICA_LTM_Veg080,40,Yes,0,509,2
BICA_LTM_Veg080,41,Yes,1,510,2
BICA_LTM_Veg080,41,Yes,1,510,2
BICA_LTM_Veg080,42,Yes,2,511,2
BICA_LTM_Veg080,42,Yes,1,511,2
BICA_LTM_Veg080,43,Yes,0,512,2
BICA_LTM_Veg080,43,Yes,0,512,2
BICA_LTM_Veg080,44,Yes,0,513,2
BICA_LTM_Veg080,44,Yes,0,513,2
BICA_LTM_Veg080,45,Yes,2,514,2
BICA_LTM_Veg080,45,Yes,2,514,2
BICA_LTM_Veg080,46,Yes,3,515,2
BICA_LTM_Veg080,46,Yes,3,515,2
BICA_LTM_Veg080,47,Yes,2,516,2
BICA_LTM_Veg080,47,Yes,3,516,2
BICA_LTM_Veg080,48,Yes,1,517,2
BICA_LTM_Veg080,48,Yes,0,517,2
BICA_LTM_Veg080,49,Yes,0,518,2
BICA_LTM_Veg080,49,Yes,0,518,2
BICA_LTM_Veg080,50,Yes,0,519,2
BICA_LTM_Veg080,50,Yes,0,519,2
BICA_LTM_Veg080,51,Yes,0,520,2
BICA_LTM_Veg080,51,Yes,0,520,2
BICA_LTM_Veg080,52,Yes,1,521,2
BICA_LTM_Veg080,52,Yes,1,521,2
BICA_LTM_Veg090,1,Yes,0,522,3
BICA_LTM_Veg090,1,Yes,0,522,3
BICA_LTM_Veg090,2,Yes,0,523,3
BICA_LTM_Veg090,2,Yes,0,523,3
BICA_LTM_Veg090,3,Yes,0,524,3
BICA_LTM_Veg090,3,Yes,0,524,3
BICA_LTM_Veg090,4,Yes,0,525,3
BICA_LTM_Veg090,4,Yes,0,525,3
BICA_LTM_Veg090,5,No,0,526,3
BICA_LTM_Veg090,6,Yes,1,527,3
BICA_LTM_Veg090,6,Yes,1,527,3
BICA_LTM_Veg090,7,Yes,0,528,3
BICA_LTM_Veg090,7,Yes,0,528,3
BICA_LTM_Veg090,8,Yes,0,529,3
BICA_LTM_Veg090,8,Yes,0,529,3
BICA_LTM_Veg090,9,Yes,1,530,3
BICA_LTM_Veg090,9,Yes,1,530,3
BICA_LTM_Veg090,10,Yes,3,531,3
BICA_LTM_Veg090,10,Yes,3,531,3
BICA_LTM_Veg090,11,Yes,0,532,3
BICA_LTM_Veg090,11,Yes,0,532,3
BICA_LTM_Veg090,12,Yes,3,533,3
BICA_LTM_Veg090,12,Yes,4,533,3
BICA_LTM_Veg090,13,Yes,2,534,3
BICA_LTM_Veg090,13,Yes,2,534,3
BICA_LTM_Veg090,14,Yes,0,535,3
BICA_LTM_Veg090,14,Yes,0,535,3
BICA_LTM_Veg090,15,Yes,0,536,3
BICA_LTM_Veg090,15,Yes,0,536,3
BICA_LTM_Veg090,16,Yes,0,537,3
BICA_LTM_Veg090,16,Yes,0,537,3
BICA_LTM_Veg090,17,Yes,0,538,3
BICA_LTM_Veg090,17,Yes,0,538,3
BICA_LTM_Veg090,18,Yes,0,539,3
BICA_LTM_Veg090,18,Yes,0,539,3
BICA_LTM_Veg090,19,Yes,2,540,3
BICA_LTM_Veg090,19,Yes,2,540,3
BICA_LTM_Veg090,20,Yes,5,541,3
BICA_LTM_Veg090,20,Yes,5,541,3
BICA_LTM_Veg090,21,Yes,0,542,3
BICA_LTM_Veg090,21,Yes,0,542,3
BICA_LTM_Veg090,22,Yes,1,543,3
BICA_LTM_Veg090,22,Yes,1,543,3
BICA_LTM_Veg090,23,Yes,3,544,3
BICA_LTM_Veg090,23,Yes,3,544,3
BICA_LTM_Veg090,24,Yes,0,545,3
BICA_LTM_Veg090,24,Yes,0,545,3
BICA_LTM_Veg090,25,Yes,3,546,3
BICA_LTM_Veg090,25,Yes,3,546,3
BICA_LTM_Veg090,26,Yes,0,547,3
BICA_LTM_Veg090,26,Yes,0,547,3
BICA_LTM_Veg090,27,Yes,0,548,3
BICA_LTM_Veg090,27,Yes,0,548,3
BICA_LTM_Veg090,28,Yes,0,549,3
BICA_LTM_Veg090,28,Yes,0,549,3
BICA_LTM_Veg090,29,Yes,0,550,3
BICA_LTM_Veg090,29,Yes,0,550,3
BICA_LTM_Veg090,30,Yes,0,551,3
BICA_LTM_Veg090,30,Yes,0,551,3
BICA_LTM_Veg090,31,Yes,0,552,3
BICA_LTM_Veg090,31,Yes,0,552,3
BICA_LTM_Veg090,32,Yes,0,553,3
BICA_LTM_Veg090,32,Yes,0,553,3
BICA_LTM_Veg090,33,Yes,0,554,3
BICA_LTM_Veg090,33,Yes,0,554,3
BICA_LTM_Veg090,34,Yes,0,555,3
BICA_LTM_Veg090,34,Yes,0,555,3
BICA_LTM_Veg090,35,Yes,2,556,3
BICA_LTM_Veg090,35,Yes,2,556,3
BICA_LTM_Veg090,36,Yes,2,557,3
BICA_LTM_Veg090,36,Yes,1,557,3
BICA_LTM_Veg090,37,Yes,3,558,3
BICA_LTM_Veg090,37,Yes,3,558,3
BICA_LTM_Veg090,38,Yes,0,559,3
BICA_LTM_Veg090,38,Yes,0,559,3
BICA_LTM_Veg090,39,Yes,3,560,3
BICA_LTM_Veg090,39,Yes,3,560,3
BICA_LTM_Veg090,40,Yes,0,561,3
BICA_LTM_Veg090,40,Yes,0,561,3
BICA_LTM_Veg090,41,Yes,0,562,3
BICA_LTM_Veg090,41,Yes,0,562,3
BICA_LTM_Veg090,42,Yes,0,563,3
BICA_LTM_Veg090,42,Yes,0,563,3
BICA_LTM_Veg090,43,Yes,2,564,3
BICA_LTM_Veg090,43,Yes,2,564,3
BICA_LTM_Veg090,44,Yes,0,565,3
BICA_LTM_Veg090,44,Yes,0,565,3
BICA_LTM_Veg090,45,Yes,0,566,3
BICA_LTM_Veg090,45,Yes,0,566,3
BICA_LTM_Veg090,46,Yes,0,567,3
BICA_LTM_Veg090,46,Yes,0,567,3
BICA_LTM_Veg090,47,Yes,0,568,3
BICA_LTM_Veg090,47,Yes,0,568,3
BICA_LTM_Veg090,48,Yes,0,569,3
BICA_LTM_Veg090,48,Yes,0,569,3
BICA_LTM_Veg090,49,Yes,0,570,3
BICA_LTM_Veg090,49,Yes,0,570,3
BICA_LTM_Veg090,50,Yes,0,571,3
BICA_LTM_Veg090,50,Yes,0,571,3
BICA_LTM_Veg090,51,Yes,0,572,3
BICA_LTM_Veg090,51,Yes,0,572,3
BICA_LTM_Veg090,52,Yes,1,573,3
BICA_LTM_Veg090,52,Yes,2,573,3
